2024-06-08 00:51:10,536 INFO    StreamThr :2258918 [internal.py:wandb_internal():85] W&B internal server running at pid: 2258918, started at: 2024-06-08 00:51:10.535639
2024-06-08 00:51:10,537 DEBUG   HandlerThread:2258918 [handler.py:handle_request():158] handle_request: status
2024-06-08 00:51:10,538 INFO    WriterThread:2258918 [datastore.py:open_for_write():87] open: /home/atticus/maheep/SAE_vs_DAS/wandb/run-20240608_005110-9c5icg83/run-9c5icg83.wandb
2024-06-08 00:51:10,539 DEBUG   SenderThread:2258918 [sender.py:send():378] send: header
2024-06-08 00:51:10,540 DEBUG   SenderThread:2258918 [sender.py:send():378] send: run
2024-06-08 00:51:11,030 INFO    SenderThread:2258918 [dir_watcher.py:__init__():211] watching files in: /home/atticus/maheep/SAE_vs_DAS/wandb/run-20240608_005110-9c5icg83/files
2024-06-08 00:51:11,030 INFO    SenderThread:2258918 [sender.py:_start_run_threads():1123] run started: 9c5icg83 with start time 1717833070.535485
2024-06-08 00:51:11,036 DEBUG   HandlerThread:2258918 [handler.py:handle_request():158] handle_request: check_version
2024-06-08 00:51:11,036 DEBUG   SenderThread:2258918 [sender.py:send_request():405] send_request: check_version
2024-06-08 00:51:11,163 DEBUG   HandlerThread:2258918 [handler.py:handle_request():158] handle_request: run_start
2024-06-08 00:51:11,169 ERROR   HandlerThread:2258918 [gpu.py:is_available():381] Error initializing NVML: RM has detected an NVML/RM version mismatch.
2024-06-08 00:51:11,170 DEBUG   HandlerThread:2258918 [system_info.py:__init__():26] System info init
2024-06-08 00:51:11,170 DEBUG   HandlerThread:2258918 [system_info.py:__init__():41] System info init done
2024-06-08 00:51:11,170 INFO    HandlerThread:2258918 [system_monitor.py:start():194] Starting system monitor
2024-06-08 00:51:11,170 INFO    SystemMonitor:2258918 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-08 00:51:11,170 INFO    HandlerThread:2258918 [system_monitor.py:probe():214] Collecting system info
2024-06-08 00:51:11,170 INFO    SystemMonitor:2258918 [interfaces.py:start():188] Started cpu monitoring
2024-06-08 00:51:11,171 INFO    SystemMonitor:2258918 [interfaces.py:start():188] Started disk monitoring
2024-06-08 00:51:11,171 INFO    SystemMonitor:2258918 [interfaces.py:start():188] Started memory monitoring
2024-06-08 00:51:11,172 INFO    SystemMonitor:2258918 [interfaces.py:start():188] Started network monitoring
2024-06-08 00:51:11,182 DEBUG   HandlerThread:2258918 [system_info.py:probe():150] Probing system
2024-06-08 00:51:11,184 DEBUG   HandlerThread:2258918 [system_info.py:_probe_git():135] Probing git
2024-06-08 00:51:11,188 DEBUG   HandlerThread:2258918 [system_info.py:_probe_git():143] Probing git done
2024-06-08 00:51:11,188 DEBUG   HandlerThread:2258918 [system_info.py:probe():198] Probing system done
