2024-06-21 19:35:23,108 INFO    MainThread:18216 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-06-21 19:35:23,109 INFO    MainThread:18216 [wandb_setup.py:_flush():76] Configure stats pid to 18216
2024-06-21 19:35:23,109 INFO    MainThread:18216 [wandb_setup.py:_flush():76] Loading settings from /Users/maheepchaudhary/.config/wandb/settings
2024-06-21 19:35:23,109 INFO    MainThread:18216 [wandb_setup.py:_flush():76] Loading settings from /Users/maheepchaudhary/pytorch/Projects/SAE_vs_DAS/gpt2/wandb/settings
2024-06-21 19:35:23,109 INFO    MainThread:18216 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-21 19:35:23,109 INFO    MainThread:18216 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-21 19:35:23,109 INFO    MainThread:18216 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'gpt2/main_train.py', 'program_abspath': '/Users/maheepchaudhary/pytorch/Projects/SAE_vs_DAS/gpt2/main_train.py', 'program': '/Users/maheepchaudhary/pytorch/Projects/SAE_vs_DAS/gpt2/main_train.py'}
2024-06-21 19:35:23,109 INFO    MainThread:18216 [wandb_init.py:_log_setup():520] Logging user logs to /Users/maheepchaudhary/pytorch/Projects/SAE_vs_DAS/gpt2/wandb/offline-run-20240621_193523-7navnicu/logs/debug.log
2024-06-21 19:35:23,109 INFO    MainThread:18216 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/maheepchaudhary/pytorch/Projects/SAE_vs_DAS/gpt2/wandb/offline-run-20240621_193523-7navnicu/logs/debug-internal.log
2024-06-21 19:35:23,109 INFO    MainThread:18216 [wandb_init.py:init():560] calling init triggers
2024-06-21 19:35:23,109 INFO    MainThread:18216 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-06-21 19:35:23,109 INFO    MainThread:18216 [wandb_init.py:init():610] starting backend
2024-06-21 19:35:23,109 INFO    MainThread:18216 [wandb_init.py:init():614] setting up manager
2024-06-21 19:35:23,110 INFO    MainThread:18216 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-06-21 19:35:23,112 INFO    MainThread:18216 [wandb_init.py:init():622] backend started and connected
2024-06-21 19:35:23,115 INFO    MainThread:18216 [wandb_init.py:init():711] updated telemetry
2024-06-21 19:35:23,136 INFO    MainThread:18216 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-21 19:35:23,139 INFO    MainThread:18216 [wandb_init.py:init():795] starting run threads in backend
2024-06-21 19:35:28,057 INFO    MainThread:18216 [wandb_run.py:_console_start():2374] atexit reg
2024-06-21 19:35:28,057 INFO    MainThread:18216 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-06-21 19:35:28,057 INFO    MainThread:18216 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-06-21 19:35:28,057 INFO    MainThread:18216 [wandb_run.py:_redirect():2319] Redirects installed.
2024-06-21 19:35:28,058 INFO    MainThread:18216 [wandb_init.py:init():838] run started, returning control to user process
2024-06-21 19:35:31,423 WARNING MsgRouterThr:18216 [router.py:message_loop():77] message_loop has been closed
